Astro ID,TIC ID,Epoc,Per,Dur,Depth,SMass,SRad,SRadEst,Tmag,Year,MinT,MaxT,Split,Consensus Label,L1,L2,L3,L4,L5,L6,L7,L8,Notes,File,disp_E,disp_J,disp_N,disp_S,disp_B
2517,290603338.0,1629.916154,13.672549,0.212334686,380,,15.6183,15.99812032,8.5098,1.0,1624.969341,1682.344324,train,,J,N,J,,,,,,,astronet_tess_ffi_s0039-0000000290603338_tess_v01_llc.fits,0,2,1,0,0
2518,32092337.0,1326.344131,1.322809,0.2186074153,110,1.41,2.43001,2.431193663,9.8165,1.0,1325.322602,1652.863937,train,J,J,J,J,,,,,,,astronet_tess_ffi_s0039-0000000032092337_tess_v01_llc.fits,0,1,0,0,0
2519,278544052.0,1600.656778,11.266385,0.2062875094,2350,1.36,1.98842,2.05725624,11.51,1.0,1596.78191,1682.344514,train,J,J,J,J,,,,,,,astronet_tess_ffi_s0039-0000000278544052_tess_v01_llc.fits,0,1,0,0,0
2520,380752037.0,1657.54944,0.563905,0.06898249865,3970,1.96,2.28233,2.176557906,11.2855,1.0,1653.926229,1682.343003,train,J,J,J,J,,,,,,,astronet_tess_ffi_s0039-0000000380752037_tess_v01_llc.fits,0,1,0,0,0
2521,259863095.0,1338.82086,14.367642,0.3147950362,2660,0.816496,2.71171,2.502182596,9.5645,1.0,1325.323285,1682.34288,train,J,J,J,J,,,,,,,astronet_tess_ffi_s0039-0000000259863095_tess_v01_llc.fits,0,1,0,0,0
2522,272085506.0,1328.358035,42.384245,0.3670475617,890,,14.4802,15.56373639,11.3921,1.0,1325.32184,1652.865751,train,J,J,J,J,,,,,,,astronet_tess_ffi_s0039-0000000272085506_tess_v01_llc.fits,0,1,0,0,0
2523,306897664.0,1325.809096,1.24642,0.1748602618,140,3.08,3.58284,3.78402128,10.1524,1.0,1325.321434,1652.866141,train,,J,N,B,,,,,,,astronet_tess_ffi_s0039-0000000306897664_tess_v01_llc.fits,0,1,1,0,1
2524,302988499.0,1493.063518,3.163782,0.08491590888,17730,1.18,1.21723,1.252151588,11.3073,1.0,1491.635423,1682.344667,train,E,E,E,E,,,,,,,astronet_tess_ffi_s0039-0000000302988499_tess_v01_llc.fits,1,0,0,0,0
2525,375033936.0,1358.363181,36.146066,0.5523118885,230,,32.6551,29.77128373,9.4688,1.0,1325.320879,1682.344623,train,J,J,J,J,,,,,,,astronet_tess_ffi_s0039-0000000375033936_tess_v01_llc.fits,0,1,0,0,0
2526,177019341.0,1326.179872,19.779634,0.295507732,350,,14.13,13.34508341,11.3313,1.0,1325.321517,1682.344594,train,J,J,J,J,,,,,,,astronet_tess_ffi_s0039-0000000177019341_tess_v01_llc.fits,0,1,0,0,0
2527,90921748.0,1660.76883,11.36222,0.1627069904,3430,2.07,2.30793,2.327133331,10.8405,1.0,1653.926986,1682.34369,train,J,J,E,E,,,,,,,astronet_tess_ffi_s0039-0000000090921748_tess_v01_llc.fits,0,1,0,0,0
